river_code,river_name,parent_code,parent_name,basin_name,stream_order,is_civilian,topology_path,source_type,waterway_type,description,has_osm_geo,wikidata_id,meta_data
114023-C02,大溪墘溪,114023,景美溪,淡水河,4,1,0@114000@114020@114023@114023-C02,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": true, ""outfall_lon"": 121.6505325, ""outfall_lat"": 25.0193928, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Spatial_Join_Contains (出海口點位 121.6505,25.0194 落入 新北市 多邊形內)"", ""county_derivation_tier"": ""Tier_2_Spatial_Join_Contains"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114030-C01,外雙溪,114030,基隆河,淡水河,3,1,0@114000@114030@114030-C01,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": true, ""outfall_lon"": 121.5559128, ""outfall_lat"": 25.1027713, ""primary_county"": ""臺北市"", ""primary_county_code"": ""63000"", ""is_border_river"": false, ""border_counties"": [""臺北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Spatial_Join_Contains (出海口點位 121.5559,25.1028 落入 臺北市 多邊形內)"", ""county_derivation_tier"": ""Tier_2_Spatial_Join_Contains"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114030-C02,芊蓁林溪,114030,基隆河,淡水河,3,1,0@114000@114030@114030-C02,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114030-C03,灰窯溪,114030,基隆河,淡水河,3,1,0@114000@114030@114030-C03,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": true, ""outfall_lon"": 121.7701674, ""outfall_lat"": 25.0008444, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Spatial_Join_Contains (出海口點位 121.7702,25.0008 落入 新北市 多邊形內)"", ""county_derivation_tier"": ""Tier_2_Spatial_Join_Contains"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114030-C04,尪子上天溪,114030,基隆河,淡水河,3,1,0@114000@114030@114030-C04,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114030-C05,魚桀魚坑溪,114030,基隆河,淡水河,3,1,0@114000@114030@114030-C05,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114036-C01,小坑溪,114036,保長坑溪,淡水河,4,1,0@114000@114030@114036@114036-C01,Wiki,stream,淡水河水系民間支流,0,,"{""raw_river_name"": ""小坑溪"", ""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
11402A-C01,阿玉溪,11402A,桶後溪,淡水河,5,1,0@114000@114020@114021@11402A@11402A-C01,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": true, ""outfall_lon"": 121.6077965, ""outfall_lat"": 24.805757, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Spatial_Join_Contains (出海口點位 121.6078,24.8058 落入 新北市 多邊形內)"", ""county_derivation_tier"": ""Tier_2_Spatial_Join_Contains"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114021-C05,波露溪,114021,南勢溪,淡水河,4,1,0@114000@114020@114021@114021-C05,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114021-C06,露門溪,114021,南勢溪,淡水河,4,1,0@114000@114020@114021@114021-C06,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
